class,family,model,model_type,ubatch,depth,test,mean_ts,stddev_ts,sample_2,sample_3,sample_4
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,0,PP512,1970.6566666666668,4.831214478092836,1966.07,1975.7,1970.2
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,0,PP1024,2118.1400000000003,3.2848287626602195,2121.59,2117.78,2115.05
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,0,PP2048,2036.32,3.4219438920005603,2040.25,2034.71,2034
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,0,PP4096,1925.6033333333332,2.7517509577236345,1928.61,1924.99,1923.21
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,0,TG128,73.03043333333333,0.09500507004014333,72.9217,73.0722,73.0974
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,12000,PP512,1288.8366666666666,60.60337476851703,1321.04,1218.93,1326.54
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,12000,PP1024,1392.7966666666666,36.762320837146945,1350.38,1415.45,1412.56
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,12000,PP2048,1333.2033333333334,16.99885976568221,1313.64,1344.37,1341.6
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,12000,PP4096,1299.7066666666667,1.5781740503928203,1297.96,1301.03,1300.13
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,12000,TG128,53.24203333333333,0.020568503429598064,53.2468,53.2195,53.2598
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,32000,PP512,746.5663333333333,24.121199479572606,754.994,719.362,765.343
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,32000,PP1024,842.7193333333333,11.482466038849527,829.542,848.037,850.579
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,32000,PP2048,812.095,5.190815253888329,806.817,812.274,817.194
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,32000,PP4096,797.323,1.106725349849701,798.387,797.404,796.178
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,32000,TG128,33.0387,0.0405732670609627,33.0057,33.084,33.0264
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,64000,PP512,453.15133333333335,7.226567396304633,458.236,444.879,456.339
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,64000,PP1024,495.53266666666667,2.40600838180863,492.784,496.557,497.257
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,64000,PP2048,492.1573333333333,0.5871663591635142,492.038,492.795,491.639
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,64000,PP4096,485.52933333333334,0.2687309683183642,485.559,485.782,485.247
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,64000,TG128,18.893233333333335,0.007250057471037447,18.886,18.9005,18.8932
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,128000,PP512,257.80533333333335,2.6260162477283586,259.256,254.774,259.386
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,128000,PP1024,271.541,2.0510007313504466,269.489,271.543,273.591
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,128000,PP2048,271.89666666666665,1.950864509219777,269.668,272.727,273.295
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,128000,PP4096,269.2746666666667,0.89737691820848,269.964,269.6,268.26
moe,Laguna XS 2.1,Laguna-XS-2.1-Q4_K_M,laguna 30B.A3B Q4_K - Medium,2048,128000,TG128,9.689363333333333,0.01329585022980272,9.67456,9.69324,9.70029
moe,Ling 3.0 Tiny,Ling-3.0-tiny-Q4_K_M,bailingmoe3 7.9B.A1.3B Q4_K - Medium,2048,0,PP512,4747.296666666667,13.123743114422085,4732.24,4753.34,4756.31
moe,Ling 3.0 Tiny,Ling-3.0-tiny-Q4_K_M,bailingmoe3 7.9B.A1.3B Q4_K - Medium,2048,0,PP1024,5090.816666666667,10.822034620778549,5078.34,5096.45,5097.66
moe,Ling 3.0 Tiny,Ling-3.0-tiny-Q4_K_M,bailingmoe3 7.9B.A1.3B Q4_K - Medium,2048,0,PP2048,4845.756666666667,1.6819433204880425,4844.03,4847.39,4845.85
